都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,愛媛県松山市住所,方書,緯度,経度,電話番号,内線番号,数,単位,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
382019,0000000011,愛媛県,松山市,松山城天守,マツヤマジョウテンシュ,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84553972,132.7656948,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/matsuyamajou_tenshu.html,
382019,0000000012,愛媛県,松山市,松山城三の門南櫓,マツヤマジョウサンノモンミナミヤグラ,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84542374,132.7658537,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/3nomon_minamiyagura.html,
382019,0000000013,愛媛県,松山市,松山城二の門南櫓,マツヤマジョウニノモンミナミヤグラ,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84533876,132.7660057,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/2nomon_minamiyagura.html,
382019,0000000014,愛媛県,松山市,松山城一の門南櫓,マツヤマジョウイチノモンミナミヤグラ,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84530876,132.7657967,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/1nomon_minamiyagura.html,
382019,0000000015,愛媛県,松山市,松山城乾櫓,マツヤマジョウイヌイヤグラ,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84529173,132.7648378,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/inuiyagura.html,
382019,0000000016,愛媛県,松山市,松山城野原櫓,マツヤマジョウノハラヤグラ,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.8455897,132.7651038,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/noharayagura.html,
382019,0000000017,愛媛県,松山市,松山城仕切門,マツヤマジョウシキリモン,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84567371,132.7656848,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/sikiromon.html,
382019,0000000018,愛媛県,松山市,松山城三の門,マツヤマジョウサンノモン,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84547974,132.7658677,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/matsuyamajou_3nomon.html,
382019,0000000019,愛媛県,松山市,松山城二の門,マツヤマジョウニノモン,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84543175,132.7659557,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/matsuyamajou_2nomon.html,
382019,0000000020,愛媛県,松山市,松山城一の門,マツヤマジョウイチノモン,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84535875,132.7657997,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/matsuyamajou_1nomon.html,
382019,0000000021,愛媛県,松山市,松山城紫竹門,マツヤマジョウシチクモン,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84522277,132.7657358,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/sichikumon.html,
382019,0000000022,愛媛県,松山市,松山城隠門,マツヤマジョウカクレモン,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.843705,132.7669306,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/kakuremon.html,
382019,0000000023,愛媛県,松山市,松山城隠門続櫓,マツヤマジョウカクレモンツヅキヤグラ,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84376299,132.7669616,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/kakuremon_tuduki.html,
382019,0000000024,愛媛県,松山市,松山城戸無門,マツヤマジョウトナシモン,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.843592,132.7666266,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/tonasimon.html,
382019,0000000025,愛媛県,松山市,松山城仕切門内塀,マツヤマジョウシキリモンウチベイ,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.8456877,132.7656138,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/sikirimon_uchibei.html,
382019,0000000026,愛媛県,松山市,松山城三の門東塀,マツヤマジョウサンノモンヒガシベイ,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84545174,132.7660157,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/3nomon_higasibei.html,
382019,0000000027,愛媛県,松山市,松山城筋鉄門東塀,マツヤマジョウスジガネモンヒガシベイ,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84538975,132.7657388,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/sujiganemon_higashi.html,
382019,0000000028,愛媛県,松山市,松山城二の門東塀,マツヤマジョウニノモンヒガシベイ,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84540875,132.7660197,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/2nomon_higasibei.html,
382019,0000000029,愛媛県,松山市,松山城一の門東塀,マツヤマジョウイチノモンヒガシベイ,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84531076,132.7659247,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/1nomon_higasibei.html,
382019,0000000030,愛媛県,松山市,松山城紫竹門東塀,マツヤマジョウシチクモンヒガシベイ,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84523177,132.7657797,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/shichikumon_higashi.html,
382019,0000000031,愛媛県,松山市,松山城紫竹門西塀,マツヤマジョウシチクモンニシベイ,,,重要文化財,建造物,,愛媛県松山市丸之内,,33.84521777,132.7656718,,,1,棟,,,1935-05-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/shichikumon_nishi.html,
382019,0000000032,愛媛県,松山市,浄土寺本堂　　附厨子１基,ジョウドジホンドウ　ツケタリ　ズシ,,,重要文化財,建造物,,愛媛県松山市鷹子町,,33.81682359,132.8079032,,,1,棟,,,1953-03-31,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/joudoji_hondou.html,
382019,0000000033,愛媛県,松山市,伊佐爾波神社　本殿,イサニワジンジャ　ホンデン,,,重要文化財,建造物,,愛媛県松山市桜谷町,,33.85074276,132.7888577,,,1,棟,,,1956-06-28,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/isaniwa_honden.html,
382019,0000000034,愛媛県,松山市,伊佐爾波神社　申殿及び廊下、楼門、回廊,イサニワジンジャ　モウシドノオヨビロウカ　ロウモン　カイロウ,,,重要文化財,建造物,,愛媛県松山市桜谷町,,33.85074276,132.7888577,,,3,棟,,,1967-06-15,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/isaniwa_honden.html,
382019,0000000035,愛媛県,松山市,豊島家住宅,トシマケジュウタク,,,重要文化財,建造物,,愛媛県松山市井門町,,33.79817835,132.7803751,,,7,棟,,,1970-06-17,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/toshimake_juutaku.html,
382019,0000000036,愛媛県,松山市,渡部家住宅,ワタナベケジュウタク,,,重要文化財,建造物,,愛媛県松山市東方町,,33.76834668,132.8168584,,,4,棟,,,1970-06-17,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/watanabeke_juutaku.html,
382019,0000000037,愛媛県,松山市,道後温泉本館,ドウゴオンセンホンカン,,,重要文化財,建造物,,愛媛県松山市道後湯之町,,33.85205391,132.7864069,,,4,棟,,,1994-12-27,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/dougoonsen_honkan.html,
382019,0000000038,愛媛県,松山市,久米官衙遺跡群　久米官衙遺跡　来住廃寺跡,クメカンガイセキグン　クメカンガイセキ　キシハイジアト,,,史跡,その他,,愛媛県松山市来住町,,33.81017113,132.8016049,,,,,,,1979-04-21,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/kumekanga_isekigun.html,
382019,0000000039,愛媛県,松山市,湯築城跡,ユヅキジョウアト,,,史跡,その他,,愛媛県松山市道後公園,,33.84831692,132.7866734,,,,,,,2002-09-20,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/yudukijou_ato.html,
382019,0000000040,愛媛県,松山市,エヒメアヤメ自生南限地帯,エヒメアヤメジセイナンゲンチタイ,,,天然記念物,その他,,愛媛県松山市下難波乙,,33.99223385,132.7875434,,,,,,,1925-10-08,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/kuni/ehimeayame.html,
382019,0000000041,愛媛県,松山市,石造　湯釜,セキゾウ　ユガマ,,,県指定有形文化財,建造物,,愛媛県松山市道後公園,,33.84957884,132.7864239,,,1,基,,,1954-11-24,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/isudukuri_yugama.html,
382019,0000000042,愛媛県,松山市,円明寺八脚門,エンミョウジハッキャクモン,,,県指定有形文化財,建造物,,愛媛県松山市和気町1,,33.89132101,132.7396529,,,1,棟,,,1956-11-03,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/enmyouji_hakkyakumon.html,
382019,0000000043,愛媛県,松山市,円明寺厨子,エンミョウジズシ,,,県指定有形文化財,建造物,,愛媛県松山市和気町1,,33.89179097,132.7396629,,,1,基,,,1956-11-03,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/enmyouji_zushi.html,
382019,0000000044,愛媛県,松山市,明教館,メイキョウカン,,,県指定有形文化財,建造物,,愛媛県松山市持田町2,,33.84254755,132.7799419,,,1,棟,,,1969-02-18,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/maikyoukan.html,
382019,0000000045,愛媛県,松山市,萬翠荘（旧久松家別邸）,バンスイソウ（キュウヒサマツケベッテイ）,,,重要文化財,建造物,,愛媛県松山市一番町3,,33.84252119,132.7682055,,,2,棟,,,2011-11-29,,,,,,,,,,,http://tnlscm01.city.matsuyama.ehime.jp:10080/5644e075-cb0a-4dcf-ae1e-9fb6a61f7e7c/bansuisou2016000800.html,
382019,0000000046,愛媛県,松山市,国津比古命神社楼門,クニツヒコノミコトジンジャロウモン,,,県指定有形文化財,建造物,,愛媛県松山市高田,,33.97114664,132.7967168,,,1,棟,,,1951-11-27,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/kunituhiko_roumon.html,
382019,0000000047,愛媛県,松山市,雲門寺厨子　附神像１躯,ウンモンジズシ　ツケタリ　シンゾウ,,,県指定有形文化財,建造物,,愛媛県松山市本谷,,33.93026737,132.7834353,,,1,基,,,1965-12-24,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/unmonji_zusi.html,
382019,0000000048,愛媛県,松山市,石造宝篋印塔,セキゾウホウキョウイントウ,,,県指定有形文化財,建造物,,愛媛県松山市八反地,,33.96776998,132.7952091,,,1,基,,,1976-04-16,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/hattanchihoutouinkyo.html,
382019,0000000049,愛媛県,松山市,板碑（文中の板碑）,イタビ（ブンチュウノイタビ）,,,県指定有形文化財,建造物,,愛媛県松山市小浜,,33.96526265,132.6268746,,,1,基,,,1954-11-24,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/bunchuuno_itahi.html,
382019,0000000050,愛媛県,松山市,坊っちゃん列車（機関車・客車各１両）,ボッチャンレッシャ（キカンシャ　キャクシャ）,,,県指定有形文化財,その他,,愛媛県松山市梅津寺町,,33.87549015,132.7076232,,,2,両,,,1977-01-11,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/bocchan_ressha.html,
382019,0000000051,愛媛県,松山市,子規堂　附埋髪塔,シキドウ　ツケタリ　マイハツトウ,,,県指定史跡,その他,,愛媛県松山市末広町,,33.83479902,132.7634749,,,,,,,1948-10-28,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/sikidou.html,
382019,0000000052,愛媛県,松山市,庚申庵,コウシンアン,,,県指定史跡,その他,,愛媛県松山市味酒町2,,33.84364411,132.754758,,,,,,,1949-09-17,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/kousinan.html,
382019,0000000053,愛媛県,松山市,一遍上人の誕生地,イッペンショウニンノタンジョウチ,,,県指定史跡,その他,,愛媛県松山市道後湯月町,,33.85163238,132.7899856,,,,,,,1949-09-17,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/ippen_tanjouchi.html,
382019,0000000054,愛媛県,松山市,荏原城跡,エバラジョウセキ,,,県指定史跡,その他,,愛媛県松山市恵原町,,33.76688376,132.8126487,,,,,,,1950-10-10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/ebarajou_ato.html,
382019,0000000055,愛媛県,松山市,松平定行の霊廟,マツダイラサダユキノレイビョウ,,,県指定史跡,その他,,愛媛県松山市祝谷東町,,33.85744673,132.7842762,,,,,,,1951-11-27,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/sadayukino_reibyou.html,
382019,0000000056,愛媛県,松山市,松平定政の霊廟,マツダイラサダマサノレイビョウ,,,県指定史跡,その他,,愛媛県松山市祝谷東町,,33.85736576,132.7845332,,,,,,,1954-11-24,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/sadamasano_reibyou.html,
382019,0000000057,愛媛県,松山市,足立重信の墓,アダチシゲノブノハカ,,,県指定史跡,その他,,愛媛県松山市御幸1,,33.85648826,132.7660408,,,,,,,1951-11-27,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/shigenobuno_haka.html,
382019,0000000058,愛媛県,松山市,青地林宗の墓,アオチリンソウノハカ,,,県指定史跡,その他,,愛媛県松山市御幸1,,33.85653625,132.7660108,,,,,,,1951-11-27,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/rinsouno_haka.html,
382019,0000000059,愛媛県,松山市,鍵谷カナの墓,カギヤカナノハカ,,,県指定史跡,その他,,愛媛県松山市西垣生町,,33.81354853,132.7031362,,,,,,,1953-02-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/kagiyakanano_haka.html,
382019,0000000060,愛媛県,松山市,菊屋新助の墓,キクヤシンスケノハカ,,,県指定史跡,その他,,愛媛県松山市木屋町2,,33.84930507,132.7602283,,,,,,,1955-11-04,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/shinsukeno_haka.html,
382019,0000000061,愛媛県,松山市,経石山古墳,キョウセキザンコフン,,,県指定史跡,その他,,愛媛県松山市桑原4,,33.83081765,132.7938376,,,,,,,1957-12-14,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/kyousekizan_kofun.html,
382019,0000000062,愛媛県,松山市,東野お茶屋跡,ヒガシノオチャヤアト,,,県指定史跡,その他,,愛媛県松山市東野4,,33.84098662,132.8032869,,,,,,,1961-03-30,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/higashinochaya_ato.html,
382019,0000000063,愛媛県,松山市,難波奥谷古墳,ナンバオクノタニコフン,,,県指定史跡,その他,,愛媛県松山市庄,,33.97747221,132.8066734,,,,,,,1950-10-10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/nanbaokunotani_kofun.html,
382019,0000000064,愛媛県,松山市,横山城跡,ヨコヤマジョウアト,,,県指定史跡,その他,,愛媛県松山市麓,,33.91964389,132.8091578,,,,,,,1953-02-13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/yokoyamajou_ato.html,
382019,0000000065,愛媛県,松山市,恵良城跡,エリョウジョウアト,,,県指定史跡,その他,,愛媛県松山市上難波,,33.99215543,132.8000828,,,,,,,1977-04-15,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/eryoujou_ato.html,
382019,0000000066,愛媛県,松山市,松山城山樹叢,マツヤマシロヤマジュソウ,,,県指定天然記念物,その他,,愛媛県松山市丸之内,,33.84474683,132.7655398,,,,,,,1949-09-17,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/siroyama_jusou.html,
382019,0000000067,愛媛県,松山市,鹿島のシカ,カシマノシカ,,,県指定天然記念物,その他,,愛媛県松山市北条辻,,33.9742036,132.7656585,,,,,,,1948-10-28,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/kashimano_sika.html,
382019,0000000068,愛媛県,松山市,南柿,ミナミガキ,,,県指定天然記念物,その他,,愛媛県松山市本谷,,33.9300524,132.7833344,,,1,本,,,1959-03-31,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/unmonji_minamikaki.html,
382019,0000000069,愛媛県,松山市,イブキ,イブキ,,,県指定天然記念物,その他,,愛媛県松山市宮内,,33.95050889,132.7874545,,,1,本,,,1961-03-30,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/miyauchi_ibuki.html,
382019,0000000070,愛媛県,松山市,城の山のイブキ自生地,シロノヤマノイブキジセイチ,,,県指定天然記念物,その他,,愛媛県松山市二神,,33.93539598,132.5405473,,,,,,,1954-11-24,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/ken/sironoyamamo_ibuki.html,
382019,0000000071,愛媛県,松山市,層塔,ソウトウ,,,市指定有形文化財,建造物,,愛媛県松山市浄瑠璃町,,33.75811993,132.8130744,,,1,基,,,1968-10-25,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/soutou.html,
382019,0000000072,愛媛県,松山市,宝篋印塔,ホウキョウイントウ,,,市指定有形文化財,建造物,,愛媛県松山市浄瑠璃町,,33.75812393,132.8130714,,,1,基,,,1968-10-25,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/yasaka_houkyouintou.html,
382019,0000000073,愛媛県,松山市,釣島灯台吏員退息所及び倉庫,ツルシマトウダイリインタイソクジョオヨビソウコ,,,市指定有形文化財,建造物,,愛媛県松山市泊町,,33.89287066,132.639074,,,2,棟,,,1995-06-29,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/turusima_kyuukansha.html,
382019,0000000074,愛媛県,松山市,日吉神社本殿,ヒヨシジンジャホンデン,,,市指定有形文化財,建造物,,愛媛県松山市南梅本町字上方,,33.8024178,132.8468428,,,1,棟,,,1999-02-16,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/hiyoshijinnja_honden.html,
382019,0000000075,愛媛県,松山市,松山神社社殿,マツヤマジンジャシャデン,,,市指定有形文化財,建造物,,愛媛県松山市祝谷東町,,33.85672079,132.7833463,,,6,棟,,,2004-03-26,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/matuyamajinja_shaden.html,
382019,0000000076,愛媛県,松山市,金毘羅宮御神像･本殿･拝殿,コンピラグウゴシンゾウ　ホンデン　ハイデン,,,市指定有形文化財,建造物,,愛媛県松山市庄,,33.97731923,132.8068284,,,2・１,棟・躯,,,1975-12-11,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/shou_konpiraguu.html,
382019,0000000077,愛媛県,松山市,郡境石,グンザカイイシ,,,市指定有形文化財,建造物,,愛媛県松山市浅海本谷,,34.00716111,132.8107802,,,1,基,,,2003-08-28,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/asanami_sakaiishi.html,
382019,0000000078,愛媛県,松山市,六地蔵の板碑,ロクジゾウノイタビ,,,市指定有形文化財,建造物,,愛媛県松山市磯河内,,33.93031422,132.768537,,,1,基,,,1963-08-23,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/rokuzouchino_itabi.html,
382019,0000000079,愛媛県,松山市,層塔・五輪塔,ソウトウ　ゴリントウ,,,市指定有形文化財,建造物,,愛媛県松山市苞木,,33.93979825,132.7782383,,,4,基,,,1976-09-08,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/suboki_gorintou.html,
382019,0000000080,愛媛県,松山市,石造阿弥陀如來坐像,セキゾウアミダニョライザゾウ,,,市指定有形文化財,建造物,,愛媛県松山市善応寺,,33.95132097,132.8011728,,,1,躯,,,1978-05-10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/zenouji_amidazazou.html,
